District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
148,ARUNACHAL PRADESH,Lhmnrno,1720331,585002,819075,326256,455915,923043,111929,56495,56380,24448,36628,112594,226565,394877,810600,1221003,308425,722374,177929,6869,29983,157421,2095012,41887,14673,1559,558,57,7,2628,507498,165285,9314,30397,210131,12053,1160297,317240,222994,367490,317387,26129,37756,13654,1780398,254254,1063274,28050,520454,896239,684,152923,34170,28041,111118,21554,16600,1250,104967,162423,119791,36572,511606,20248,218965,289656,29130,10713,13,3050,1827,1085,7643,28327,29478,10657,40465,57,2496,828,52709,378483,177438,3301,133877,13580,25938,18861,42972,70900,117643,5043,54969,130577,50329,25499,322729,8770,2301,8393,2754,1,29955,719,925,564,3310,1,276,53,8,6,489,4,881
332,HIMACHAL PRADESH,Mizuhna,7361288,210067,1124814,2288685,389598,59349,557187,107089,0,11031,92456,4096,143457,410614,252767,564065,369944,70155,156293,529,11893,195076,1594987,9712,7436,1159,19,1953,550,965,71632,203639,41772,48564,774782,52323,553914,189966,127161,1102584,95094,208903,751563,10782,1484438,340675,195562,3907613,278134,283352,2899,14158,9695,37015,15472,68013,8870,4156,1000569,296728,1946,10820,456283,173242,44013,117179,132088,4833,3392,7699,243,333,5517,322160,184677,77178,89303,436,3060,12958,775,160915,39354,1271,382463,36299,2080,43738,39524,6950,208596,118953,192870,116756,139437,6928,231854,43770,4221,15666,3980,251,34965,397,1155,808,2338,271,141,750,3,620,541,1360,4191
201,PUNJAB,Tunmagr,2963954,204740,264444,3373601,1295763,724024,111657,74523,194179,170240,21515,25765,2272668,20173,806845,272263,3787,661434,131336,204314,16618,324488,1407229,384651,360817,795,108,59,10,4747,26848,395631,98,73717,263735,151784,20153,237224,450071,7829,935686,184292,619038,26947,99683,1206269,82972,132514,198038,236643,2308,416700,21189,248290,5151,4356,454828,4477,287418,27787,7386,32680,247933,290559,44355,20282,108375,17853,630,5026,2956,226,9639,116339,62587,1586,68036,76,7662,1055,82861,87071,37109,2411,15170,9049,24213,11570,52366,24002,300600,22750,154137,75158,3333,132960,242598,23325,30784,15368,723,898,1952,279,1166,331,496,666,17,121,51,1050,455,155,1481
207,ANDHRA PRADESH,Pashpnan,787783,2023670,512426,1597101,505816,563379,184903,88773,174836,80291,2495,7564,478673,14883,503329,252775,155482,803413,142169,424569,12676,232672,1648043,148910,68243,4010,134,276,78,3609,27260,89512,10165,14914,311008,222193,130394,152094,587779,55023,175254,200425,1378,9553,426371,210557,81746,1021114,33020,159564,54207,161286,82209,39075,69108,1814,188472,1170,47860,79737,18554,53427,614111,187392,108000,719133,11846,27773,117,1163,3439,18394,17144,192887,223536,12668,54787,42,203,7022,9570,29796,60609,1172,127347,91106,26685,16468,9176,12361,468483,75972,7352,196224,16479,39620,387411,54343,1343,6027,1328,557,50135,292,2445,622,1358,705,70,768,241,24,19,314,7174
299,MAHARASHTRA,Haonuai,2660729,2227625,1925860,1670047,792748,224087,816669,279795,347604,85374,20472,1827,767816,20915,19064,531533,199962,1090935,123902,269703,21322,256332,3514,557075,1377,1298,7853,77,274,2090,16040,113344,9919,5115,263664,105056,1125782,150587,229179,255729,277128,78058,2171,20109,1045044,1321176,3043802,21090,599231,184932,8805,5013,4108,7282,177162,24426,64661,17919,197905,209039,69199,23747,261238,355232,6253,776025,1891,56442,39,50387,728,1225,2094,376720,265724,22020,101933,44,128,814,5295,30534,352870,1396,100292,48,21238,48120,23016,2098,25705,66491,44117,114801,7336,14971,133947,13741,4474,14346,1699,1581,17294,1006,911,1718,1515,184,36,1319,297,9,263,10,4250
11,NAGALAND,Aiubhbra,2699364,300022,468207,1837116,386936,439673,831492,77,127728,1580,7242,6794,911046,755197,144694,339743,49878,1839193,48088,4202,30844,374667,3883435,93786,52997,268,32,79,24,659,17843,48129,9673,107919,314586,48475,307978,607806,213859,523835,191811,93014,89261,37254,1785045,252412,1037595,1485052,405795,261679,1139,31108,2492,145722,105725,8135,200652,2732,30178,152218,29788,34313,244394,203411,44161,222261,1866,1320,263,1715,6504,226,10741,18199,286547,12053,104827,496,169,12920,30198,57511,91828,30,47586,43405,12443,2290,128344,48632,65477,180006,36778,266733,48965,17658,647781,53929,18519,42790,4824,71,26330,770,705,1375,636,122,438,132,6,80,51,327,1301
31,ORISSA,Jama ahr,1898909,597801,1871001,1892450,890914,2410297,294961,473570,51,5453,142564,466647,1252986,697404,353901,134387,66453,514262,101565,747,11360,9778,180376,41904,46369,18407,173,17894,2307,4340,148268,156140,5167,41621,17746,16182,368355,845838,16154,13790,253968,137116,75793,653,2373847,344410,829683,1987941,215264,372758,351,77837,5810,30974,66225,15099,135620,23429,259020,125502,441,31942,165493,86313,10449,87347,12603,72513,6150,5993,4512,338,15147,242382,1760,10,302468,609,1830,390,693,204879,196288,314,48845,15,6442,39050,38981,3552,61376,31513,159778,79822,85688,7838,81340,52954,3608,65,6521,112,33838,99,997,1142,17,301,21,297,405,6,14,2098,4023
342,ASSAM,Smliomtu,966980,365230,461197,247061,721123,444873,750823,72020,0,539,1586,12338,1196315,245823,49972,464661,99849,810267,40197,910,2074,819777,361390,322894,1699,75996,78,545,1213,66,101608,123842,11224,11074,450903,24960,50983,38052,327659,16387,28675,76510,51971,14634,2133152,598709,524819,2149594,733142,376849,15774,81378,16262,41077,12433,2189,4009,337,81474,17169,572,1978,121449,137635,273219,293069,39204,8895,32581,5813,895,1525,6360,202488,198175,23487,189909,1904,2802,13628,25158,77007,25639,904,249270,46725,11569,36634,48117,7071,9800,47027,26513,105438,13731,61279,220305,150407,8421,7663,5944,2067,15459,592,1689,42,1791,103,260,588,118,253,416,9,1812
8,GUJARAT,Ralirg,2036392,105687,817984,504099,37776,423930,108096,304666,274993,15691,246392,11641,26753,14123,640262,234453,24442,1761266,115540,164215,18153,234922,4906,413728,2752,166188,73,85,11,1518,170362,417065,5094,274981,31703,349283,1579008,59421,701480,8443,439815,171434,36502,1527,173088,584384,2292868,305422,415278,498059,15337,5751,14510,68824,145293,5036,264147,4923,104838,376324,2716,23724,117169,630113,352736,774352,6900,5282,19368,21801,2123,11,5395,13519,16596,45641,92192,3461,60,233,9844,25587,101382,49,382264,16314,23772,6016,10678,95484,261617,3812,180086,114048,2298,135031,367834,11756,11269,21209,1209,1328,15037,374,1669,550,532,319,173,1166,279,664,267,33,12576
470,_RARE_,Ratrdrl,1333770,782559,579234,1212331,661707,267824,32333,204620,7091,307689,0,28826,1056720,400752,134777,323907,127917,597587,286608,5475,18124,251037,1170180,212981,1109,152,413,345,270,1193,19988,1091605,754,95127,13731,128747,433674,111103,49095,316792,657244,29214,39187,1824,4162027,220704,2608533,1488123,1863429,371316,1576,159539,12849,23198,44604,15333,96839,562,36935,54710,4306,12064,142649,215909,33685,290719,23748,47189,3831,37094,5381,1513,3713,264403,332760,47147,406,1371,54,429,2312,110885,103878,1216,43139,264,14408,47223,19946,42942,270474,470026,139508,70779,13273,37401,347410,15198,6032,6903,117,1294,46616,414,2191,889,100,184,396,46,69,116,84,40,1652
366,RAJASTHAN,Samding,1799916,646229,714155,804307,1602060,382048,0,488732,104620,89721,60600,19107,349584,896910,268932,918439,185275,65981,284329,713011,9366,90575,814516,57298,1240,231,556,182,1206,413,605,121287,4347,1066,896603,574484,171869,442208,1345110,14156,285363,18035,22603,1034,419993,466543,3781049,37474,800393,204282,5742,583,10244,35807,360470,21072,23539,594,594302,61686,33474,7250,271036,170928,42159,720477,26695,75958,352,24473,8420,149,1860,109869,194530,46535,378762,246,754,863,19296,76429,649346,993,907124,747,12277,18517,120329,39041,209872,119876,29165,102469,16381,73206,288771,45983,1682,2530,6388,1453,30934,365,299,629,388,52,58,979,8,114,193,58,2524
634,ORISSA,Biaar,435155,696277,707682,50518,568184,217612,17499,119512,134860,9409,238819,15086,161069,270991,31109,116343,152397,2158330,133986,88698,34050,461835,1036002,13335,4635,20785,156,179,68,8477,530835,27913,5478,6500,300357,70927,297147,671293,307202,519446,160199,66942,36842,18672,1614727,1025482,1952805,3430105,344825,391799,423,113100,5106,26326,91727,17207,509417,918,684577,243026,54500,12404,237787,86033,48013,593399,8324,88749,331,25367,499,21472,2645,480970,211265,143897,6942,1063,123,4963,10417,17754,325224,1069,381347,62609,41009,89145,27776,15651,357262,58387,41902,141592,25076,34075,287260,66148,33780,19803,10378,1455,44379,732,209,258,3659,29,998,2022,133,361,2428,45,2656
130,KARNATAKA,Boahord,1339896,798002,121834,941617,874705,308407,123504,169736,573739,232292,13185,24580,210560,894977,420796,754097,300124,1387893,230162,464309,7699,511119,119698,360681,14876,111,592,802,53,13994,21905,483515,1957,3540,397742,351651,717019,148524,314713,1197902,105154,111614,199897,3693,2134153,108387,2116715,1533367,794874,139281,2545,279009,2404,10658,402196,12409,147642,4525,296258,192154,32213,14311,242870,64868,225802,150726,17796,18363,341,1585,880,4777,12723,141512,218088,112,90821,152,458,28173,1259,129139,118016,417,111791,43696,35201,1592,4171,9653,115076,470265,39875,16665,48603,6516,98146,50116,22564,4172,2887,1,3599,52,1014,41,1855,170,464,102,343,15,678,117,7916
524,MAHARASHTRA,Nanranh,1248046,313204,532314,2291079,438601,162152,42431,146813,536931,56998,45106,13021,615586,773008,292964,47334,39152,497012,348715,4996,32978,254568,1893877,451770,6536,21633,26,606,1224,936,132451,127877,6956,64885,801821,24133,612694,258391,455413,574953,11345,79691,105218,11006,1955706,172905,761986,425511,687808,572214,310,178019,756,59284,68111,22441,140709,10144,769835,43121,4915,27403,282569,336466,720663,297198,28655,116816,8,3302,2074,251,4384,262670,13573,166120,178787,1268,422,9377,7324,98656,308090,132,45732,91522,1246,214424,116857,91012,51738,13737,148438,114336,23267,31687,379428,76943,8426,21852,8446,24,4003,342,1286,421,231,230,242,54,6,6,294,594,2383
123,ORISSA,Gasnbnru,2782677,1065329,1257103,1115340,337290,24229,723828,113,53978,44167,22338,5287,570806,604165,347532,451520,171358,305884,73829,435090,26987,143904,931663,28970,178774,689,599,27223,2,352,1872,101202,1285,8520,289586,185886,801301,8836,342004,114230,158200,21142,18749,11436,1009119,757527,7402710,952510,13022,185779,54859,381550,5524,61663,40753,24847,829549,5360,14215,668063,2632,12494,380614,290299,86702,380124,4922,893,91,1149,1155,1895,181,426379,49837,17684,298295,4131,25,13404,5001,269363,118495,2853,351002,33720,14013,63414,41406,29712,98848,175791,36214,26457,2933,64239,542279,64739,5051,17982,608,7564,112942,150,179,422,773,2025,373,92,41,46,1227,95,2522
547,TAMIL NADU,Barttna,651756,311350,1271249,1089746,487637,953935,77143,95242,140037,60408,90101,133908,487052,448614,250765,487128,74535,1191833,124161,437529,105094,164854,1978983,1879,13940,303,346,1604,231,354,34935,141868,3537,79303,225347,24527,930031,139914,421913,125504,375798,174038,96517,1626,1167215,626851,638697,535161,53956,238994,1357,175084,14480,42548,67932,12019,219442,14615,17018,478303,10047,10885,755949,197714,26104,1060371,5449,56686,12268,38460,3809,312,565,63263,424397,15203,9700,5640,1327,2139,4279,75123,137669,396,222312,9301,8774,8091,15104,29624,252783,32887,50377,183874,9340,33057,239841,93825,1065,3506,2725,4,32436,82,1003,615,1215,19,132,796,3,19,36,4,101
301,KARNATAKA,Shrpdrbr,2123883,558641,812035,106106,513528,287889,126584,299952,235510,1216213,87627,46582,81448,242876,251109,94453,56227,1184242,384790,86880,184609,91035,2255912,284064,895,568,1788,18508,259460,762,32577,211025,4287,81598,673490,115909,709693,368415,842321,246419,989053,14190,8659,5560,435147,1061877,3275993,107819,466231,25980,4022,274710,6800,1959,60625,170,258401,525,30064,266056,41124,22385,174959,860902,92316,14188,11299,106495,10,19946,711,9018,2810,189352,497643,992,150100,413,2392,8283,31602,2750,311995,2009,7323,596,6889,20051,56401,47899,107646,127107,91396,179584,10194,45012,154204,1276,7674,7252,972,72,54957,435,543,417,148,159,2358,230,374,17,377,26,3449
30,KERALA,Cabuhth,52942,1487725,1763689,131395,1382058,598409,1053850,61473,25892,0,605150,189650,879421,548464,48023,106776,52508,721781,342291,276893,9611,970614,2590723,1550,3469,185302,168,563,78,558,126617,113517,9660,69037,665797,776334,251365,65424,121776,484070,134179,41119,129593,43544,1478898,482189,1533655,1412223,530597,560385,408,12812,2417,6523,79306,6576,436142,20922,169154,231770,5088,24521,430728,8167,65919,54378,25369,127099,614,19638,374,1245,9163,137208,256417,70004,93502,3870,409,789,27323,32640,61664,221,92218,96,17184,33245,53043,17195,543062,9353,46493,72871,21617,99865,201996,53970,16543,10273,5258,164,38618,194,534,408,2412,85,17,292,6,513,16,20,482
591,_RARE_,Rarkuamt,809380,3188941,463015,442645,799785,112355,776026,266300,0,139497,384,0,1372379,468122,81651,244638,211358,2181426,67704,384934,40032,168164,1022561,271155,4030,2681,665,126,260,12527,6969,276010,2593,23697,279580,20606,246922,210364,459612,578876,224546,51963,53170,100,347585,920537,458882,1007473,276014,183371,1534,163533,3788,2741,34775,5298,209648,7425,22978,243568,4385,21922,191189,12153,24383,591120,22166,140181,85,7168,473,1386,7074,238516,505,4964,387711,1393,280,4671,54342,38157,101960,2222,49351,501,16997,11487,12488,8595,22811,51587,12595,203862,81315,34264,734280,28958,4876,13129,7894,89,12619,363,183,1482,3024,865,194,154,6,252,180,10,5634
415,MANIPUR,Sarbi,1529178,313551,2798494,219896,489934,1350199,56,77199,3,720383,557789,13089,1187220,411047,72056,1073289,338568,754923,17561,183685,11866,158600,1504543,772511,635,3194,410,562,42,23182,1396,342078,2676,6340,554950,3724,157976,245423,382092,22043,15274,289563,59182,154,389623,640310,4100836,943501,33477,80131,133,76028,20813,134865,1962,9122,147917,9868,6826,172812,7337,4600,801503,8230,210523,837984,15663,1349,49,9693,2944,4630,5392,6174,405586,37008,33023,50,450,1714,9164,129079,135122,102,9155,82016,1062,5921,65850,20223,291910,36665,117579,125645,33693,3880,696166,151708,159,9187,484,227,31572,575,1687,755,3588,85,105,1303,357,12,1566,36,1502
413,MAHARASHTRA,Kardwiog d,3004610,303175,26879,1657114,328333,299106,420024,97370,71653,27149,11918,344393,760493,15558,174210,112775,149791,1190781,48049,262390,130736,109488,168710,438127,250,12613,298543,11254,218,16618,499081,506410,9018,18480,35196,50857,324160,134885,185808,421124,51857,80693,38435,90,815192,439385,505536,2221935,611290,481580,2234,402822,5256,89091,79618,14018,923594,6760,95026,112446,44899,47991,238730,31225,171778,18897,25706,134377,18417,21342,1309,30,3387,162901,116040,1663,161203,299,8499,10787,19188,143977,244614,2247,88786,59191,4764,130867,46844,17140,55959,56770,71332,259749,40620,87129,137167,88621,60398,22283,16623,874,213284,261,379,47,1531,70,436,265,39,370,521,29,584
509,JHARKHAND,Maaar a,645668,681307,1891789,747912,322739,655877,10439,258472,60,0,204363,2656,834025,367633,625782,355048,213043,610466,77101,27905,5166,72122,1489736,13847,4365,132,1039,2,143,45,64095,148878,4297,19273,349428,44644,670993,340745,250163,145359,29427,39607,29201,9195,1483280,556045,1287585,2808886,227527,554091,5120,96705,1271,51509,56093,409,246975,4852,148095,28106,20166,14145,347402,366350,432871,780471,17032,11992,151,231031,5121,594,1579,188533,588779,43270,239326,11735,2354,1962,15021,25481,35912,906,107881,794,39852,15354,54028,56159,553675,108054,49686,115329,1597,5380,11158,73710,1995,5584,744,1387,18025,203,593,662,1396,86,42,56,246,18,1173,351,1970
223,MAHARASHTRA,Dariunau,3056373,677039,20826,2076938,1035976,197775,376503,56015,24503,349118,12035,185767,350350,532370,47669,849846,96673,75524,282559,304304,262,267661,2004672,56664,1773,236,62,104,3,904,403792,480045,3754,18409,298802,36980,708221,279691,632703,452977,11620,186336,22834,10223,396244,581440,3400848,2254339,127400,577466,1948,163148,5134,12330,2861,2644,758164,9535,94896,426508,480,99,290445,678451,205863,30387,14019,3538,10,2527,161,1037,7635,16489,51008,12597,2,995,2701,3085,11079,15161,104665,1883,29250,150961,4616,217041,2239,27927,362455,390179,32900,76884,6500,146769,305813,50703,4330,1885,1640,143,47545,850,1372,400,1228,29,43,77,4,287,245,101,2461
270,RAJASTHAN,Botb bdt,470398,866965,349189,1758009,228276,784435,527,129954,3977,238186,159683,770,492435,275355,230388,2332409,321528,1637073,341002,1037302,14223,115527,671428,240069,232394,1009,196,2627,13826,580,245453,129840,4490,13930,255436,12203,803927,247138,284973,618221,20960,201341,100742,247,862152,424925,294924,694330,238436,379851,321,155814,5325,69063,115052,4413,231220,4865,78353,287293,10587,27178,156031,668309,134179,409562,8476,51863,538,234544,530,454,7569,280558,409959,7915,244706,2404,79,265,2578,58604,104022,3586,477684,4233,13001,24799,26962,10443,96903,38318,10487,88434,20072,2995,13160,59375,8294,5853,2139,547,4653,719,1992,81,923,184,60,320,6,348,146,0,1850
332,PUNJAB,Aeratduh,1960022,43671,2261537,538962,544944,631874,234567,85805,941,0,346,2516,1068186,629551,59122,195990,28590,1080892,18908,474,134457,641040,1329353,41802,61476,1122,40126,33,317,739,228150,109359,2431,10681,334961,222009,319629,235570,538949,809997,64294,142724,2162,24018,182778,256469,576270,547906,265331,23498,57,192830,8493,25251,62590,9258,168715,79364,102967,217741,539,19512,212184,156710,56862,33071,4384,130592,77,4411,8316,137,11819,173367,1358,359,159566,93,220,39595,1515,62730,419755,578,32717,13451,73911,6599,28592,123565,357481,38106,110962,64027,12990,13481,195189,81313,50118,6747,1918,597,116844,219,1255,926,534,224,21,371,61,162,916,52,338
139,MAHARASHTRA,Maoppi h,1900858,1158873,628320,666046,976816,923174,195547,132694,92696,1599,8304,203115,1067425,296951,172601,915383,295070,1719360,222372,82720,66268,486958,4118861,68185,9121,160,663,761,27163,506,204673,43080,4983,40265,390051,43462,35243,46908,320218,445364,224804,127434,92840,12843,3435295,382554,255387,297617,55958,256438,529,129534,43113,43471,60233,796,273573,240,47879,168363,78154,8026,809653,210714,340387,13401,38075,44724,163,1311,610,306,14738,439105,371452,169440,220057,95,1447,33570,16946,38936,101400,78,231872,245,8901,45883,71017,35046,963617,333381,38158,327137,4898,36200,745172,19379,5996,10063,1048,494,26327,52,1051,5867,116,325,55,101,242,4,162,5,2509
103,MAHARASHTRA,Dahhkai,333098,756926,738041,519306,17910,261930,604447,51595,0,296338,81351,115247,288152,411014,286581,362312,79556,22561,472287,168352,20239,492545,853290,794446,18280,1901,2182,1207,138,4112,241182,1048931,884,690,234190,39050,378888,496099,33087,171887,7933,84373,213581,11465,68228,274010,3828706,743518,462593,243825,4170,171689,9823,16471,73786,10382,376521,11538,32838,336657,10848,14145,355268,11305,43091,160321,42145,19437,298,7259,503,8266,2367,177436,13000,1523,301057,3938,1779,1075,9082,446563,196257,21308,887678,103058,31483,55272,15146,39244,19726,63744,8419,33662,27786,78773,75606,12538,52,23884,1229,310,6378,293,1924,889,3164,458,154,686,17,34,16,39,23642
328,CHHATTISGARH,Dorakre,8161961,65240,2692439,803844,381167,342267,0,224923,22054,1140646,119627,18844,103755,405714,178579,394583,74719,23090,52337,389636,14491,224487,2206603,17853,2381,461,4340,33472,219,3029,21382,455860,3388,13848,442084,26514,896110,275648,819156,240447,47491,275130,49034,924,2131107,280423,110914,637277,365200,484409,73,2682,9735,108942,32842,9487,103014,9843,161638,389928,5135,22514,215176,29801,181523,457530,4268,1903,215,3271,12115,147,12928,97280,441344,40,144720,15,3691,5924,1525,74350,54704,2156,301826,62366,1682,32251,124761,13514,303061,36169,139438,150749,33246,37867,644104,31519,71,59684,3822,5756,23871,930,57,1232,2045,343,127,402,6,6,128,4,1335
68,MADHYA PRADESH,Ritdndar,1624081,920361,1963566,33148,308434,589351,286406,60543,126586,9261,2063,76945,156925,486040,461414,314722,292128,789073,94777,199019,8433,191562,1347430,142978,1101,161,1657,418,176,29700,115277,49950,554,15005,205305,530578,289224,121926,414827,313927,116809,277390,153729,5841,444866,940761,2734064,2081368,42250,317865,2883,104938,10730,17720,95832,2313,396394,7194,173862,548455,12750,15323,162644,186943,292730,369117,8468,2203,33,17666,4012,440,20481,220514,196570,549,51332,67,7297,1030,1061,67078,317156,9644,4875,42790,8085,13343,23874,25957,313588,93037,78153,2100,1653,69272,149618,31688,407,941,2572,822,56658,224,418,1300,1072,256,59,459,63,943,254,587,578
238,MADHYA PRADESH,Jiernauh,917443,1269522,432072,730614,789566,89997,608706,0,42197,1696,87585,358675,476785,608580,8195,1200208,144908,1437495,577469,12331,30498,66508,1000411,269411,1541,745,30242,13694,511,3262,124760,1130663,8288,47528,305335,25366,193965,282677,235124,280457,215813,151452,247342,874,1250858,651562,1104849,1276567,317625,96776,288,149819,6395,9254,64407,35441,43867,3270,85590,84613,1140,2540,110694,135886,574325,234411,12050,18287,29247,3548,253,222,4193,140673,144575,110847,102960,942,490,5012,12250,478245,184173,55524,7169,108047,7835,54815,9046,12539,25026,36812,49868,221459,18274,203682,253074,50161,17461,5794,1315,2007,73365,52,1687,2259,1081,81,102,1393,31,259,282,287,3970
297,BIHAR,Monlarinina,398196,2028679,785919,2468477,420104,921240,110175,131025,170374,0,5368,131,483554,172430,197804,492407,236714,221163,172770,309173,17335,376501,1143990,1186542,242833,30986,485,4981,270,686,148566,158885,2767,98453,263983,294687,110345,96782,136308,648369,130365,27603,79665,522,800680,412619,3073917,2185863,494117,226258,1034,68568,1099,65741,157450,174,137663,12565,158362,372705,3813,1152,328734,108449,97095,268843,27923,39721,109,3017,499,510,7972,239714,442916,491,5644,1114,530,920,2258,258570,58512,1010,264921,74542,3322,15415,63908,18812,161720,47656,161254,150198,3972,38635,153997,24241,13342,46905,7,660,30662,101,2474,13,167,220,71,150,178,510,30,20,2749
340,KARNATAKA,Fugdbaigea,55500,1976967,571775,70732,350670,616485,505176,168120,188194,0,39484,47012,152796,276785,290837,196914,43673,296018,76214,106035,16423,147291,1454615,44547,4281,17462,145,101,6,17855,647,387156,93136,23915,114538,61421,222719,156732,99749,50154,103143,124181,28020,5694,2252813,655369,3273123,1193932,317511,190209,4828,309971,11369,32780,221429,5182,70318,6418,104702,309887,4017,11818,343801,734266,128982,389142,14765,5900,338,406,1988,329,9953,261822,3728,308,141303,1328,493,2539,7309,31737,106894,1141,25006,50739,11177,35182,2562,26600,143860,25121,82335,65451,56299,44060,165403,54497,1501,22848,7678,1452,23780,782,1472,591,513,102,318,303,200,102,25,371,631
68,PUNJAB,Mandara,2091946,83768,588395,968453,377495,478404,95040,235354,39733,51046,147737,158,1175469,357256,176820,589675,207468,1077220,129153,73052,41151,1207064,201850,214628,1984,32,1110,73,9523,4428,472748,33749,22249,8818,298632,27553,162488,644987,700504,621959,56962,28671,130487,3561,1047496,93224,2160680,2783604,137472,274670,54249,275104,3309,185618,5971,762,98057,28156,49675,178857,9705,31322,297252,335956,62745,14528,7214,2613,1317,19317,6603,881,4852,262194,29857,5050,131883,1895,1477,35314,5412,14493,183108,1144,12911,52628,13660,27792,67762,46625,70151,59218,103111,48288,58656,2025,366714,3131,9478,7291,1065,116,19423,530,309,2119,1033,356,66,736,70,36,74,72,5981
618,MAHARASHTRA,Mrdp,805776,1686014,1633421,2784598,419623,486628,953598,286880,75681,7736,309500,4893,1370084,647959,256727,360958,306946,594497,106520,1026051,4910,109427,2578708,172279,1930,304800,5354,4566,30,92,148490,28538,1850,207574,313136,85481,393632,211186,173288,448321,202891,2052,46780,56237,43823,1011507,1631956,1046133,242408,688564,3607,957,700,51155,10252,2098,89225,6966,87960,135692,56834,1342,214839,416042,18299,285327,1161,29700,5032,6440,3967,1337,9492,48676,211309,35357,94681,110,4720,3641,54021,21255,438035,4136,153939,9,33030,85333,41337,122351,203739,97256,88659,2723,51288,53110,228625,27668,9634,9984,1931,15,8975,482,652,76,3660,546,61,912,41,193,332,10,3306
165,MADHYA PRADESH,Phata a,628582,764475,117242,2616804,19238,150256,0,108853,5112,689,13004,150037,700362,2345570,209402,2167619,55267,433328,275759,81452,20546,27811,2124676,838982,4746,740,335,1173,76878,2652,31739,49463,127881,11133,317747,199534,438514,626270,509544,116069,175131,374692,203535,30553,1728427,72615,787959,1057341,157723,233452,2750,150,6739,131064,86570,2181,233366,4882,31158,56015,9545,1104,295928,15003,350088,42594,2449,8531,280,50742,29609,626,8029,99652,418091,153902,353805,17,3335,363,12775,61661,5545,866,8557,155871,683,48103,120897,53669,457484,199273,58733,81477,139437,219011,173400,25954,2195,15189,2397,515,62463,52,165,135,5775,246,247,478,109,3,1620,27,170
